index	metaphor_label	sentence	pos_tag	word_index	metaphor_word
147	1	The blame goes to the electronic amplifiers.	VBZ	2	goes
148	1	An old-fashioned military band, playing a march in Ramat Park, generated as much sound.	VBD	12	generated
149	0	But the sound was not amplified and was dissipated in the open air.		-1	
150	1	A trombonist sitting in front of a tuba player might be a bit deaf for an hour or so after a concert; then his hearing returned to normal.	IN	19	after
151	0	A microphone hooked up to a public address system did not appreciably increase the hearing hazard.		-1	
152	0	What he did was multiple microphones and speakers, and the installation of internal microphones in such instruments as guitars and bouzoukis.		-1	
153	1	One fact that we have to comprehend is that, in our unconscious mind, we cannot distinguish between a wish and a deed.	IN	10	in
154	1	We are all aware of some of our illogically dreams in which two completely opposite statements can exist side by side–very acceptable in our dreams but unthinkable and illogical in our walking state.	IN	10	in
155	1	Just as our unconscious mind cannot differentiate between the wish to kill somebody in anger and the act of having done so, the young child is unable to make this distinction.	VB	7	differentiate
156	1	The child who angrily wishes his mother to drop dead for not having gratified his needs will be traumatized greatly by the actual death of his mother – even if this event is not linked closely in time with his destructive wishes.	DT	30	this
157	1	He will always take part of or the whole of the blame for the loss of his mother.	VB	3	take
158	1	He will always say to himself – rarely to others – ‘I did it. I am responsible. I was bad, therefore mummy left me.’	TO	4	to
159	1	It is well to remember that the child will react in the same manner if he loses a parent by divorce, separation or desertion.	VB	9	react
160	1	Death is often seen by a child as an impermanent thing and has therefore little distinction from a divorce in which he may have an opportunity to see a parent again.	VBN	3	seen
161	1	Undergraduate students in psychology and education come to their first course in statistics with diverse expectations of and backgrounds in mathematics.	IN	2	in
162	1	Some have considerable formal training and quantitative aptitude and look forward to learning statistics.	VBP	1	have
163	1	Other – perhaps the majority, including some of those who aspire to postgraduate studies – are less confident in their quantitative skills.	DT	9	those
164	1	They regard a course in statistics as a necessary evil for the understanding or carrying out of research in their fields, but an evil nonetheless.	VBP	1	regard
165	1	This third edition, like this predecessor, is directed primary at the latter audience.	DT	0	This
166	1	It was written with the conviction that statistical concepts can be described simply without loss of accuracy and that understanding of statistical techniques research tools can be effectively promoted by discussing them within the context of their application to concrete data rather than as pure abstractions.	IN	3	with
167	1	Further, its contents are limited to those statically techniques that are widely used in the literature of psychology and to the principles underlying them.	NNS	3	contents
168	1	The changes that have been made in this edition reflect both the results of our teaching experience and the increasing prominence being given by statisticians to certain topics.	VBN	5	made
169	1	Thus our discussions of some procedures, particularly those in the realms of descriptive statistics, which students grasp easily, have been shortened or rearranged.	DT	8	those
170	1	The treatment of other topics has been expanded.	NN	1	treatment
171	1	Greater emphasis has been placed on sampling theory, hypothesis testing, and the notion of statistical power.	NN	1	emphasis
172	1	Our planet is at risk.	IN	3	at
173	0	Our environment is under threat.		-1	
174	1	The air we breathe, the water we drink, the seas we fish in, the soil we farm, the forest, animals and plants which surround us are in danger.	IN	14	in
175	0	New terms and words describe these problems – acid rain, the greenhouse effect, global warming, holes in the ozone layer, desertification and industrial pollution.		-1	
176	0	We are changing our environment.		-1	
177	0	More and more gases and wastes escape from our factories.		-1	
178	0	Rubbish, oil spillages and detergents damage our rivers and seas.		-1	
179	1	Forests give us timber and paper, but their loss results in soil erosion and also endangers wildlife.	VBP	1	give
180	0	The richer countries of the world are mainly responsible for industrial pollution.		-1	
181	1	This Is where most of all the commercial energy is produced.	DT	0	This
182	1	In developing countries, poverty causes people to change their environment – to overgraze grasslands, to cut down trees for new land and firewood, to farm poor soil for food.	JJ	28	poor
183	0	The United Nations Environmental Protection Agency says that an area of forest the size of Sierra Leone disappears every year.		-1	
184	0	Trees are cut down for timber which is used for building, furniture, paper and fuel.		-1	
185	0	They are also destroyed to provide land on which to graze animals and build new villages and towns.		-1	
186	1	But trees have many other important uses.	VBP	2	have
187	1	Trees protect the land from heavy downpour of rain and their roots help to hold the soil together.	IN	4	from
188	1	Forests are also the home of many living things.	NN	4	home
189	1	The amazon forest contains one fifth of all the species of birds in the world.	VBZ	3	contains
190	1	In our forest, there may be plants and animals which could help in the discovery of new medicines or crops.	IN	13	in
191	1	To rescue and converse our beautiful world, we must act cooperatively.	NN	1	rescue
192	1	Individuals, communities, nations and international associations, all have a responsibility.	VBP	10	have
193	0	By learning to protect the natural environment, we can manage the earth’s resources for generations to come.		-1	
194	0	Listen, my fellow women.		-1	
195	1	The issue has little to do with being literate or not.	VBZ	2	has
196	1	It is true that most members of NAM (NewAwareness Movement) are literate, but this does not make all of us enlightened.	NNS	5	members
197	1	We must be able to draw a line between the two.	VB	5	draw
198	1	You may be literate and yet possess a consciousness that is decadent and servile.	VB	6	possess
199	1	On the other hand, you may not have received any formal education and yet may be the greatest exponent of progressive ideas.	IN	0	On
200	1	I agree with what our sister has said.	IN	2	with
201	1	Let us not allow ourselves to be divided by a greedy and an inflated notion of the certificates we possess.	VBN	7	divided
202	1	In this century, as we march towards the year 2000, our primary concern should be how best to improve the lot of womanhood in our society.	IN	0	In
203	0	Let us not forget that for each woman who is beaten up by her man for flimsy reasons, the status of all of us here is downgraded.		-1	
204	1	For each woman who is insulted for no other reason than that of her sex, every one of us here is spat on in the face.	DT	11	that
205	1	For each woman who is denied opportunities in society simply because she is a woman, the whole lot of us here are dehumanized.	IN	7	in
206	1	Each widow in this society is a woman, and the lot of us should be viewed as collective.	IN	2	in
207	1	Each decayed tomato that is cast at her is a collective curse on our fecundity: each pebble thrown at her, a missile against our very womanhood.	VBN	5	cast
208	1	This Is an age of awareness, and it is the duty of NAM to collectively rise in defence of the rights of women.	DT	0	This
209	0	We can no longer allow ourselves to be fried alive.		-1	
210	1	We are going to squeeze ourselves into tight-fitting trousers, register into judo classes, and then file out into the street and punch the face of every man we behold.	IN	6	into
211	1	When I set out for London, little did I suspect that I was not on a journey to God’s own city where harmony reigned supreme.	IN	15	on
212	1	So used to the frenzied life of Lagos was I that I had come to associate that city with everything that was chaotic, and there was no doubt in my mind that Lagos was one giant symbol of our backwardness.	TO	2	to
213	1	As the plane taxied its way out of the tarmac of our national airport, I heaved a sigh of relief, not so much because I was leaving my own country as that I was being relieved of the tension that had possessed me during those tense hours in the untidy lounge.	VBN	43	possessed
214	1	I had felt so uneasy, my thoughts racing from one uncertainty to another.	VBN	2	felt
215	1	But I was at last air-borne, moving away from the whole uncertainty, from the whole load of fear, towards a place which I supposed would be an El Dorado.	RB	8	away
216	1	Everything that happened in the plane passed through my eyes like pictures on the screen.	VBD	6	passed
217	1	The white air hostess who instructed me on how to use the safety belt was an angel, what with her beauty, her pretty blue dress, and her ever-smiling face.	IN	7	on
218	0	The same lady of the air served me snacks and supper.		-1	
219	1	Another angel, whose queenly voice through an invisible public address system, dished out occasional information on the progress of our journey.	NN	1	angel
220	1	I had never felt so relaxed, and my jolted heartbeats each time the plane took what appeared like a sudden brief descent, did not matter.	VBN	3	felt
221	1	When eventually we were set for landing, the anxiety that came over me was almost thrilling.	VBN	4	set
222	0	What was the wonderland going to be like?		-1	
223	1	So overwhelmed was I that I almost lost consciousness of what happened thereafter.	VBD	7	lost
224	1	But I would never forget the shock that greeted me when we arrived in the tube station and boarded a train to behold the sea of white faces and the furtive glances from apparently indifferent co-passengers.	VBD	8	greeted
225	1	I believe that the nostalgic feeling for Lagos which later became part of my life all my days in London began at this point.	NN	11	part
226	1	Politics In pre-colonial times did not involve the partisan type of electioneering campaign that we now have.	IN	1	In
227	1	The society was ruled by a king or an emir and his traditional chiefs or by the council of elders or clan heads.	NNS	22	heads
228	1	Where there existed the hierarchical system as in the Yoruba and Hausa kingdoms, succession to the throne was mainly patriarchal.	WRB	0	Where
229	1	A recorded exception was the case of Queen Amina of the Zazzau Empire who ruled in the 15th century A.D a host of unsung and unrecorded women regents and at times women village rulers abound, especially in the present Ondo State where some influential traditional female chiefs and regents still exist.	IN	15	in
230	1	In Ibadan, the famous Efunsetan Aniwura held political as well as economic sway and it took a lot of drive, brain work and political engineering for the then king and his council of chiefs to subdue her.	VBD	7	held
231	1	The history of the various towns and villages of the period could boast of such women who were actively engaged in the running of government.	VB	12	boast
232	1	In the Igbo society, a rise to leadership position was through demonstrated ability in fostering societal survival rather than heritage.	IN	0	In
233	1	Women’s voice in the politics of each clan is given focus either through the guild of wives, the guild of daughters, or the market women’s guild.	NN	3	voice
234	1	Women, through these organs, could make their feelings known on any issue affecting their community as a whole or females in particular.	IN	2	through
235	1	Thus, unpopular edicts or ‘decrees’ could be revoked or revised as a result of mounting pressure from any of these female associations.	VBG	17	mounting
236	1	No decision was usually taken by the men without prior consultation with the leaders of the women’s groups.	VBN	4	taken
237	1	It must however be emphasized that the degree of women participation in politics was yet much limited when compared to that of men.	NN	7	degree
238	1	Whenever I have had to ask myself the question "why I have not left this country for good?", many answers rush to my mind, each striving to be recognized as being the most cogent.	DT	15	this
239	1	I am reminded of the popular slogan that 'this country belongs to us all’, for which reason every Nigerian must join hands in trying to salvage it.	NNS	10	belongs
240	1	I try to dismiss the argument by reasoning that it is foolhardy attempting to lend a helping hand where one's services are apparently not required.	VB	3	dismiss
241	1	Then I am reminded that if I left the country in a hurry just because of our political instability and economic hardships, my commitments to family at home would suffer.	IN	10	in
242	0	I reply by saying that as soon as I got settled abroad, I would arrange for my family to join me.		-1	
243	1	Other financial problems at home would be taken care of by regular remittances.	VBN	7	taken
244	1	Would I then never think of going back home in future? Not until the situation in the country improved considerably, I would answer.	IN	9	in
245	1	And who did I expect to carry on with the task of national rehabilitation when the likes of me are all out of the country? Those who messed up the country in the first place, I would argue.	IN	8	with
246	1	And so on.	IN	2	on
247	1	This dialogue of self has been going on for the last ten years or so; meanwhile, I am yet to leave the country.	DT	0	This
248	1	When I wonder how many people share my kind of mental experience, realize that we must be very few.	NN	6	share
249	1	For not many have the slightest opportunity of absconding from the country; they do not have the place to run to, nor do they have the means of escape.	VBP	3	have
250	1	Even among the elite who consider this possibility, the uncertainty of a future outside their fatherland intimidates.	IN	1	among
251	0	And so we all end up staying and mumbling.		-1	
252	0	Chike must have passed the house five times.		-1	
253	0	And yet he was still not sure.		-1	
254	1	Was this the house he had visited so often in the past?	DT	1	this
255	0	The house he used to visit was a bungalow.		-1	
256	1	This house, too, was a bungalow.	DT	0	This
257	1	The old house was situated between two-storeyed building: this one too was situated.	DT	9	this
258	1	But in spite of this feeling of certainty, Chike had a vague suspicion that the house he had passed so often that day might be the wrong house after all.	DT	4	this
259	1	Could an absence of two years have blurred his memory so badly?	VBN	7	blurred
260	1	After a few moments’ hesitation, Chike began to move towards the house and then stopped, as if held back by an invisible hand.	IN	0	After
261	1	His attention had been attracted by a girl of about twenty-four, who was tripping along the pavement to his right.	VBN	4	attracted
262	1	He turned and advanced towards her, and was about to call her by what he felt was her name when he discovered that he had made a mistake in respect of her identity.	IN	9	about
263	1	Just as Chike turned from the girl to continue his quest, he heard voices shouting, ‘thief! thief!’ and saw a crowd materialize in seconds.	IN	4	from
264	1	At the head of this justice-compelled rabble was a ludicrously fat woman who, in spite of her size, bounced along with the agility of a prize athlete.	IN	0	At
265	1	This barrel bellowed loudest and clapped her hands vigorously to punctuate her outburst.	DT	0	This
266	0	And as she did so the surplus flesh on her pudgy arms quivered.		-1	
267	1	‘They are all the same’, this woman screamed, addressing nobody in particular.	DT	8	this
268	1	‘They dress gorgeously, but underneath they are rogues.’	IN	6	underneath
269	0	Again, she clapped her hands and again, there was a quivering of loose flesh.		-1	
270	1	Chike was so busily occupied with watching the antics of this woman that he did not notice at first that the object of her venom was the girl he had seen earlier.	IN	5	with
271	1	It was this girl that was now surrounded by the crowd, with many people groaning.	DT	2	this
272	1	Sighing and hissing in unison.	IN	3	in
273	0	Chike relaxed, and prepared to watch the drama unfolding before him.		-1	
274	1	Theatre in the recent past used to be a very popular art in traditional African society.	IN	1	in
275	1	It used to be a point of intersection where members of the community not only come to entertain themselves, but ‘join heads together’.	NN	5	point
276	1	In the traditional context of African drama therefore, Theatre was a popular and respectable institution, which preserved the people’s culture and tradition.	IN	0	In
277	1	Theatre was popular with the people because it emphasized community participation, peace and progress.	IN	3	with
278	1	The presentations focused on the people's lives, their aspirations, fears and hopes.	VBD	2	focused
279	1	But today, the situation is different.	NN	4	situation
280	0	Theatre is becoming very unpopular.		-1	
281	1	Africa of the present age is preoccupied with many problems yearning for immediate solutions.	IN	7	with
282	1	The continent is facing hydra-headed challenges --- challenges on the political, social and economic scenes.	VBG	3	facing
283	1	In a world where science and technology are seen as the solutions to these problems, little attention is paid to the arts.	IN	0	In
284	1	Literature generally, and drama in particular, is often rated very low on the utility scale.	VBN	10	rated
285	1	Many in Africa today look at drama and theatre as a mere thing of fun, a joke so to say.	VBP	4	look
286	1	Elitism is another barrier that militates against the appreciation of theatre as a communal art.	NN	3	barrier
287	0	Folk theatre is appreciated by a negligible number of people.		-1	
288	1	Contemporary focus is on literary theatre.	NN	1	focus
289	0	Unfortunately.		-1	
290	1	Literary theatre only pretends to serve the interest of its society while in reality it has a foreign audience in mind.	VB	5	serve
291	1	The use of Europeans and American theatrical conventions by our academic playwrights can bear witness to this anomaly.	VB	13	bear
292	1	The popularity of the literary African theatre is further marred by the medium of communication as most literary dramas in Africa are written in foreign languages, which are not understood by many Africans.	NN	12	medium
293	1	The question often asked is whether the artist should climb down to the level of his community or stay at his exalted height and wait for the community to gradually move up to him.	VB	9	climb
294	1	Those who have visited the city of Jos in Nigeria attest to its uniqueness.	DT	0	Those
295	1	The first striking thing to notice, perhaps, is the benevolence of the climate.	NN	3	thing
296	1	It will be no exaggeration to say that in no other Nigerian city does one feel so much at peace, so relaxed, with the climate as in Jos.	NN	15	feel
297	1	When people say that Jos is cool, the remark is always a compliment, referring to the cool, serene feeling of being at peace with nature, which one experiences in the city.	VBG	15	referring
298	1	This Feeling is topographically symbolized by the surrounding rocky hills, which adorn the horizon from every angle of the city.	DT	0	This
299	1	These hills remind you of castles, except that whereas castles are man-made, the hills of Jos are natural.	DT	0	These
300	1	Population has at last made the grade and emerged as a world problem.	VBD	4	made
301	1	Unfortunately, most of those who speak or write about it persist in thinking of it in terms of a race between human numbers and world resources especially of food - a kind of competition between production and reproduction.	DT	4	those
302	1	Certainly, the statistics churned out are important revealing that indeed, there is a population explosion.	RP	5	out
303	1	But the real explosion is a twentieth century phenomenon, due primarily to the spectacular development in medicine and hygiene.	NN	3	explosion
304	1	This has drastically cut down death rates without any corresponding reduction in birth rates; death control without birth control.	DT	0	This
305	1	World population, we are told, has more than doubled since 1900 and will certainly reach well over 5 and a half billion and possibly 7 billion by the magical year 2000.	VB	16	reach
306	1	The population has brought us up against a number of tough ecological facts.	VBN	3	brought
307	1	Man is at last pressing hard on his spatial environment - there is little leeway left for his colonization of new areas of the world’s surface…	VBG	4	pressing
308	0	What are people for?		-1	
309	1	Surely people do not exist just to provide ‘bomb-fodder’ for an atomic bonfire or ‘religious fodder’ for rival religion sects or ‘cannon-fodder’ for rival national armies or rival political parties or even 'consumer-fodder’ for profit making systems.	NN	18	fodder
310	1	It cannot be their aim just to eat, drink and be merry and to hell with posterity nor to live out their undernourished lives in some squalid Asian or African village.	NN	5	aim
311	1	Man’s dominant aim must be to increase in quality-quality of human personality, of achievement, of inner experience, quality of life and of living in general.	NN	4	aim
312	1	Fulfillment is probably the embracing word; more ‘fulfillment’ equals more satisfaction and less frustration for more Homo sapiens.	NN	4	embracing
313	1	Man wants more varied and fuller achievement in the society as opposed to drabness and shrinkages.	JJ	5	fuller
314	1	We want more knowledge and more interest as against ignorance and apathy.	IN	8	against
315	0	Then would we know that the spatial environment is not as small as we think.		-1	
316	1	There is another interesting fact about eye movement.	IN	5	about
317	1	If you record the eye movements of someone who is reading you will notice that from time to time the reader goes back and looks again at something he has read before; in other words, he regresses to an earlier part of the text probably because he realizes he does not understand the passage properly.	TO	17	to
318	0	Then he comes back to where he left off and continues reading.		-1	
319	1	At one time, it was thought that regression was a fault, but it is a fact a very necessary activity in efficient reading.	IN	0	At
320	1	There are several different kinds of faults in reading, which are usually more exaggerated with foreign learners.	IN	7	in
321	0	The most common one is that most people read more slowly than they should.		-1	
322	1	There is no rate at which people ought to read of course; it depends on your purpose in reading, how difficult the language is, how unfamiliar the material is and so on.	NN	3	rate
323	1	But most people read everything at the same slow speed and do not seem to realize that they can read faster or slower as required.	IN	5	at
324	1	Other people say the words to themselves or move their lips - these habits slow the reader down to something near speaking speed, which is of course much slower than reading speed.	TO	5	to
325	1	Another habit which can slow you down is following the line with your finger, or with a pen.	NN	1	habit
326	1	If you want to be able to read faster the secret is simply to practice under timed conditions.	IN	15	under
327	1	This means that you should give yourself a certain amount of time to read with understanding then check your time when you have finished.	DT	0	This
328	1	Students who have practiced fast reading even for only an hour a week, have shown average improvements of over 50% over a term of ten weeks’ duration.	VBN	15	shown
329	1	Reading fast does not necessarily mean reading with less comprehension - in fact students usually show small increases in comprehension as well as a dramatic increase in speed.	IN	7	with
330	1	If present trends continue, the world would face a major crisis by the end of this century: insufficient cheap, convenient energy.	VB	8	face
331	1	For without such energy, industrial production will fall, agricultural output will drop, transport will be restricted and standard of living in developed countries will plummet.	VB	8	fall
332	1	At present, almost all our energy comes from fossil fuels.	VBZ	7	comes
333	0	The earth’s reserves of fossil fuels have been formed from organic matter subjected to enormous heat and pressure for millions of years.		-1	
334	0	But such reserves are finite.		-1	
335	1	Because power demand is increasing very rapidly, fossil fuels will be exhausted within a relatively short time.	JJ	16	short
336	0	We can estimate the amount of recoverable fuel under the surface of the earth and we know the rate at which it is being extracted.		-1	
337	1	Fairly simple calculations can therefore determine its remaining life.	JJ	1	simple
338	1	If present trends continue, gas and oil reserves will be exhausted by the middle of the 21st century – about 70 years from now.	NN	14	middle
339	1	When Thomas Jefferson wrote in the American Declaration of Independence that ‘all men are created equal’, he was not seeking to describe men’s endowments, but their political and legal rights.	IN	4	in
340	1	He was not saying that men do not differ from one another in the powers and dimensions of their bodies, minds and characters.	IN	9	from
